POINT (153.03364293 -27.49503178)
POINT (153.03364293 -27.49503178)
POINT (153.03434275 -27.48627129)
POINT (153.040346 -27.497667)
POINT (153.0381512 -27.49694113)
POINT (153.0381512 -27.49694113)
POINT (153.03498 -27.495063)
POINT (153.03107949 -27.48934306)
POINT (153.03751926 -27.49699614)
POINT (153.037058 -27.500237)
POINT (153.028264 -27.491895)
POINT (153.028264 -27.491895)
POINT (153.028264 -27.491895)
POINT (153.028264 -27.491895)
POINT (153.028264 -27.491895)
POINT (153.0408887 -27.49062673)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.03550841 -27.48735604)
POINT (153.03550841 -27.48735604)
POINT (153.03536 -27.490963)
POINT (153.036003 -27.486366)
POINT (153.036003 -27.486366)
POINT (153.04255223 -27.49469662)
POINT (153.033804 -27.486191)
POINT (153.033804 -27.486191)
POINT (153.02947915 -27.48708359)
POINT (153.03351907 -27.49737402)
POINT (153.035472 -27.498994)
POINT (153.03469025 -27.48665465)
POINT (153.03351907 -27.49737402)
POINT (153.0406 -27.49657)
POINT (153.034096 -27.487316)
POINT (153.03550841 -27.48735604)
POINT (153.03550841 -27.48735604)
POINT (153.03351907 -27.49737402)
POINT (153.03865051 -27.49807289)
POINT (153.03377873 -27.48751301)
POINT (153.04318462 -27.49224947)
POINT (153.039818 -27.501382)
POINT (153.039818 -27.501382)
POINT (153.04287353 -27.494745)
POINT (153.030551 -27.49275)
POINT (153.03565601 -27.49096955)
POINT (153.03565601 -27.49096955)
POINT (153.03760369 -27.4928215)
POINT (153.03654525 -27.49029257)
POINT (153.03351907 -27.49737402)
POINT (153.0370482 -27.49898205)
POINT (153.029588 -27.492082)
POINT (153.03832089 -27.4988136)
POINT (153.03550841 -27.48735604)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.040625 -27.491628)
POINT (153.041313 -27.491729)
POINT (153.04069269 -27.49225552)
POINT (153.04218534 -27.49063482)
POINT (153.03351907 -27.49737402)
POINT (153.03886849 -27.49874029)
POINT (153.02962495 -27.49108113)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.03535485 -27.48978601)
POINT (153.038356 -27.49738)
POINT (153.0406 -27.49657)
POINT (153.03521 -27.486399)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.03351907 -27.49737402)
POINT (153.037689 -27.500333)
POINT (153.034096 -27.487316)
POINT (153.034284 -27.486342)
POINT (153.03365856 -27.48890754)
POINT (153.03365856 -27.48890754)
POINT (153.03365856 -27.48890754)
POINT (153.04078443 -27.49118451)
POINT (153.03488252 -27.48921832)
POINT (153.03488252 -27.48921832)
POINT (153.03488252 -27.48921832)
POINT (153.03434275 -27.48627129)
POINT (153.03758932 -27.49888207)
POINT (153.03488252 -27.48921832)
POINT (153.033592 -27.499267)
POINT (153.035985 -27.487569)
